"periodo","IPC.INDEC","IPC.San.Luis","anio","mes","coeficiente.confusion","IPC.INDEC.acumulado.anual","IPC.San.Luis.acumulado.anual","coeficiente.confusion.acumulado.anual"
2005-10-01,88.9666303632177,91.2346842601319,"2005","10",0.79443687906973,,,
2005-11-01,90.0399188387981,92.2478793590952,"2005","11",0.778319023252752,,,
2005-12-01,91.0423202502583,92.617027961043,"2005","12",0.824205848525653,,,
2006-01-01,92.2038810667606,93.7166195413132,"2006","01",0.80596262223464,1.27584711517612,1.18724559023067,0.930554747593551
2006-02-01,92.5693083688236,93.8972667295005,"2006","02",0.821287381230402,1.67722891328772,1.38229308005427,0.824152904295385
2006-03-01,93.6851066502609,94.6669808356896,"2006","03",0.844514526049878,2.90281090457512,2.21336499321573,0.762490243414495
2006-04-01,94.5962073177434,95.201068174678,"2006","04",0.888067345936377,3.9035550255268,2.79002713704205,0.714740055871384
2006-05-01,95.0389149792667,95.5230914231857,"2006","05",0.902405130753543,4.38982081961719,3.13772048846674,0.714771881905733
2006-06-01,95.4991200806677,96.0179076343073,"2006","06",0.884736415337086,4.89530563166507,3.67198100407056,0.750102502348069
2006-07-01,96.0884248827055,96.3085139805215,"2006","07",0.943733894603487,5.5425923005657,3.98575305291722,0.719113518869215
2006-08-01,96.6289387466225,96.4970153942821,"2006","08",1.03913407156521,6.13628747708501,4.18928086838535,0.682706096158232
2006-09-01,97.4979782605526,96.9054351240968,"2006","09",1.2368257346104,7.09083203563895,4.63025780189956,0.652992170541849
2006-10-01,98.3324715470317,97.3845428840716,"2006","10",1.56846326146497,8.00743135361022,5.14755766621437,0.642847554839612
2006-11-01,99.0283312714021,98.3977379830349,"2006","11",1.64897970862679,8.77175691391849,6.24151967435552,0.711547268763439
2006-12-01,100,100,"2006","12",,9.83902840472295,7.97150610583446,0.810192407007176
2007-01-01,101.144287702777,101.115300031417,"2007","01",0.97466749726528,1.14428770277681,1.11530003141691,0.97466749726528
2007-02-01,101.449595596029,101.782909205152,"2007","02",1.22993558343892,1.44959559602897,1.78290920515238,1.22993558343892
2007-03-01,102.227110039829,102.843229657556,"2007","03",1.27664534158983,2.2271100398291,2.84322965755577,1.27664534158983
2007-04-01,102.987912185284,105.175934652843,"2007","04",1.73229142353476,2.98791218528443,5.17593465284322,1.73229142353476
2007-05-01,103.417833256128,107.36726358781,"2007","05",2.15553628153207,3.41783325612775,7.36726358781024,2.15553628153207
2007-06-01,103.874785628321,110.218347470939,"2007","06",2.63713878678956,3.87478562832074,10.2183474709394,2.63713878678956
2007-07-01,104.390399289335,113.030160226202,"2007","07",2.9678758963575,4.39039928933475,13.0301602262017,2.9678758963575
2007-08-01,105.003258337362,116.784480050267,"2007","08",3.35470985476182,5.00325833736186,16.784480050267,3.35470985476182
2007-09-01,105.844817897638,119.125039271128,"2007","09",3.27213603675445,5.84481789763774,19.1250392711278,3.27213603675445
2007-10-01,106.567484597206,120.829406220547,"2007","10",3.17159574754228,6.56748459720558,20.8294062205467,3.17159574754228
2007-11-01,107.47679065547,120.342444234998,"2007","11",2.7207454605027,7.4767906554698,20.3424442349984,2.7207454605027
2007-12-01,108.473696076199,121.520578071002,"2007","12",2.53969199242927,8.4736960761991,21.5205780710022,2.53969199242927
2008-01-01,109.483500250684,123.978950675463,"2008","01",2.52849159504506,0.930920777121869,2.02300930713548,2.1731272486903
2008-02-01,109.994627388653,126.751492302859,"2008","02",2.67658725659252,1.40211993088666,4.30455015511893,3.07002993131755
2008-03-01,111.239188881499,131.903864278982,"2008","03",2.83862693432448,2.54945936695732,8.54446742502586,3.35148209685857
2008-04-01,112.163076139661,135.846685516808,"2008","04",2.94717266464528,3.40117484414857,11.7890382626681,3.46616648742716
2008-05-01,112.791189366043,136.184417216462,"2008","05",2.82885478284933,3.98022142327584,12.0669596690796,3.03173074706687
2008-06-01,113.509033053337,139.483191957273,"2008","06",2.9227252462396,4.64198894227836,14.7815408479835,3.18431194726812
2008-07-01,113.924036435054,141.438894125039,"2008","07",2.97606906720793,5.0245732892017,16.3908996897622,3.26214759868024
2008-08-01,114.462419200524,142.593465284323,"2008","08",2.9451134484319,5.52089892845362,17.3410031023785,3.14097456358174
2008-09-01,115.04566719645,144.132893496701,"2008","09",2.93326264102888,6.05858503764321,18.6078076525336,3.07131244951083
2008-10-01,115.539184731465,144.973295633051,"2008","10",2.89418630450963,6.51355020695748,19.299379524302,2.96295858803503
2008-11-01,115.931755497954,145.900094250707,"2008","11",2.88104435550763,6.87545431891199,20.0620475698035,2.9179231857624
2008-12-01,116.324326264442,146.551994973296,"2008","12",2.85169471739211,7.23735843086648,20.5985005170631,2.8461351905984
