"periodo","IPC.San.Luis.B2003","IPCNu","IPC.GBA.B2008.abr","IPC.GBA.B1999","IPC.San.Luis","IPC.INDEC","anio","mes","coeficiente.confusion","IPC.San.Luis.acumulado.anual","IPC.INDEC.acumulado.anual","coeficiente.confusion.acumulado.anual"
2009-02-01,188.73,,104.71,,148.232799245994,117.44325654899,"2009","02",2.76512583017571,1.14689961948658,0.964227171921678,1.18944959536956
2009-03-01,193.14,,105.38,,151.696512723845,118.194731879788,"2009","03",2.84129016384539,3.51037033067152,1.61025937710923,2.1800030358919
2009-04-01,196.66,,105.73,,154.461200125668,118.587293619757,"2009","04",2.9300231243875,5.39685942440646,1.94773888728183,2.77083312329306
2009-05-01,198.36,,106.08,,155.796418473139,118.979855359726,"2009","05",2.93977047852196,6.30794790717617,2.28521839745443,2.76032606520356
2009-06-01,199.41,,106.53,,156.621112158341,119.484577596829,"2009","06",2.90594506742384,6.87067902888685,2.7191206248192,2.52680185136829
2009-07-01,201.41,,107.19,,158.191957273013,120.224836877913,"2009","07",2.87725224308548,7.94254783214534,3.35551055828751,2.36701619445919
2009-08-01,205.15,,108.08,,161.129437637449,121.223065302405,"2009","08",2.88033028058962,9.94694249423868,4.21367274129784,2.36063479651601
2009-09-01,208.31,,108.88,,163.61137291863,122.120349279477,"2009","09",2.87569477836626,11.6404952033871,4.9850544788352,2.33507883470654
2009-10-01,211.77,,109.75,,166.328934967012,123.096145604543,"2009","10",2.87186165617028,13.4948282330243,5.82393211840709,2.31713350338899
2009-11-01,214.2,,110.66,,168.237511781338,124.116806128462,"2009","11",2.8294589017244,14.7971488289833,6.70137884485582,2.20807525907031
2009-12-01,221.06,,111.69,,173.625510524662,125.272059248942,"2009","12",2.91331663159759,18.4736588241599,7.69453283193519,2.40088114868876
2010-01-01,225.96,,112.85,,177.474081055608,126.573121015696,"2010","01",2.91550552190861,2.21659278024066,1.03858895156237,2.13423489331962
2010-02-01,235.8,,114.26,,185.202639019793,128.154584025285,"2010","02",3.02624393041194,6.66787297566272,2.3010117288925,2.8978005161547
2010-03-01,242,,115.56,,190.072258875275,129.612670488027,"2010","03",3.04167970638423,9.47254139147744,3.46494762288478,2.73381950391243
2010-04-01,245.31,,116.52,,192.672007540057,130.689411260513,"2010","04",3.01967368332327,10.9698724328237,4.32446951383292,2.53669783027345
2010-05-01,249.19,,117.39,,195.71944706252,131.665207585579,"2010","05",3.02285866289766,12.7250520220755,5.10341122750472,2.49344045674667
2010-06-01,251.9,,118.25,,197.8479421929,132.629787860931,"2010","06",2.99873056514894,13.9509635393106,5.87339958814577,2.3752791428439
2010-07-01,255.59,,119.2,,200.746151429469,133.695312583704,"2010","07",2.98991591721257,15.6201936125939,6.72396812606321,2.32306181703143
2010-08-01,258.3,,120.08,,202.874646559849,134.682324958483,"2010","08",2.96619810474059,16.846105129829,7.51186319276569,2.24260009767653
2010-09-01,262.4,,120.95,,206.094879044926,135.658121283549,"2010","09",2.97533563816428,18.7008052112549,8.29080490643747,2.25560792013505
2010-10-01,270.97,,121.97,,212.825950361294,136.802158354315,"2010","10",3.06574275549427,22.5775807473084,9.20404691556989,2.45300583041525
2010-11-01,276.11,,122.86,,216.863022306001,137.800386778808,"2010","11",3.09158271289221,24.9027413371935,10.0008953353031,2.4900511906456
